compissueURI,component,intissueURI,integrated
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PoliticalParticipation>","""Political Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TechnologyTrade>","""Technology Trade""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TransparencyInGovernment>","""Transparency in Government""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RightToPropertyCustomary>","""Right to Property - Customary""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#YouthLiteracy>","""Youth Literacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EducationEquity>","""Education Equity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RightToPropertyFormal>","""Right to Property - Formal""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SocialParticipation>","""Social Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WomensEconomicParticipation>","""Women's Economic Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EnergyConservation>","""Energy Conservation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandscapeProtection>","""Landscape Protection""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborPolicy>","""Labor Policy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EducationAccess>","""Education Access""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WomensPoliticalParticipation>","""Women's Political Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CommunityParticipation>","""Community Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#HumanRightsAdvocacy>","""Human Rights Advocacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Certification>","""Certification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GovernanceStructure>","""Governance Structure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CapacityForParticipation>","""Capacity for Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandTenure>","""Land Tenure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GenderLiteracy>","""Gender Literacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#JobSecurity>","""Job Security""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Rightslegal>","""Rights (Legal)""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GenderPolicy>","""Gender Policy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AccessToTechnology>","""Access to Technology""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterRights>","""Water Rights""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RepresentationAndAccountability>","""Representation and Accountability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OccupationalSegregation>","""Occupational Segregation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Discrimination>","""Discrimination""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ResourceRights>","""Resource Rights""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CivilRights>","""Civil Rights""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GenderEquality>","""Gender Equality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Equality>","""Equality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WomensAccessToFinancialCapital>","""Women's Access to Financial Capital""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WomensAccessToSocialCapital>","""Women's Access to Social Capital""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PayEquity>","""Pay Equity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FunctionalLiteracy>","""Functional Literacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EconomicParticipation>","""Economic Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ViolenceAgainstWomenPolicy>","""Violence Against Women Policy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EmployeeRights>","""Employee Rights""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AccessToInformationAndCommunication>","""Access to Information and Communication""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#StakeholderParticipation>","""Stakeholder Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SocialStratification>","""Social Stratification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#DiscriminationInEmployment>","""Discrimination in Employment""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Participation>","""Participation"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Migration>","""Migration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MigrantLabor>","""Migrant Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PopulationDynamics>","""Population Dynamics""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PopulationDensity>","""Population Density""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Urbanization>","""Urbanization""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgeDistribution>","""Age Distribution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SexRatio>","""Sex Ratio""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationGrowth>","""Population growth"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgeDistribution>","""Age Distribution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationStructure>","""Population structure"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UrbanPopulation>","""Urban Population""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationStructure>","""Population structure"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SexRatio>","""Sex Ratio""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationStructure>","""Population structure"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RuralPopulation>","""Rural Population""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationStructure>","""Population structure"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeDistribution>","""Income Distribution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PopulationStructure>","""Population structure"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Overnutrition>","""Overnutrition""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Migration>","""Migration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PersistenceOfPoverty>","""Persistence of Poverty""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterInfrastructure>","""Water Infrastructure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurityHousehold>","""Food Security - Household""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeStability>","""Income Stability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Compensation>","""Compensation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Prices>","""Prices""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SocialSupport>","""Social Support""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#BasicNeeds>","""Basic Needs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeSufficiency>","""Income Sufficiency""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ChildLabor>","""Child Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RetainedEarnings>","""Retained Earnings""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AccessToFinance>","""Access to Finance""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Refugees>","""Refugees""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UrbanPoor>","""Urban Poor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Equality>","""Equality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PovertyIncidence>","""Poverty Incidence""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurityNational>","""Food Security - National""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PovertyAlleviationMeasures>","""Poverty Alleviation Measures""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RuralPoor>","""Rural Poor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UndernutritionChronic>","""Undernutrition - Chronic""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#NutritionalValue>","""Nutritional Value""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalDebt>","""Agricultural Debt""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForcedLabor>","""Forced Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UndernutritionAcute>","""Undernutrition - Acute""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeDistribution>","""Income Distribution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SocialStratification>","""Social Stratification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Poverty>","""Poverty"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodAvailability>","""Food Availability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurity>","""Food Security""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#YouthLiteracy>","""Youth Literacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalValueAdded>","""Agricultural Value Added""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#InputProductivity>","""Input Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurityHousehold>","""Food Security - Household""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Soilsquality>","""Soils--Quality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterProductivity>","""Water Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Profitability>","""Profitability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Irrigation>","""Irrigation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestProductivity>","""Forest Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WorkingConditions>","""Working Conditions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SourcesOfFinancialCapital>","""Sources of Financial Capital""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EnergyProductivity>","""Energy Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Machinery>","""Machinery""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EnergyEfficiency>","""Energy Efficiency""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PharmaceuticalProducts>","""Pharmaceutical Products""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeGrowth>","""Income Growth""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandProductivity>","""Land Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Desertification>","""Desertification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Seed>","""Seed""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GenderLiteracy>","""Gender Literacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ResearchAndDevelopment>","""Research and Development""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurityNational>","""Food Security - National""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodPolicies>","""Food Policies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Aquaculture>","""Aquaculture""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalProductionCosts>","""Agricultural Production Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CropYield>","""Crop Yield""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborProductivity>","""Labor Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CroppingSystems>","""Cropping Systems""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterUseEfficiency>","""Water Use Efficiency""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodWastes>","""Food Wastes""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FunctionalLiteracy>","""Functional Literacy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Erosion>","""Erosion""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalProductivity>","""Agricultural Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeGeneration>","""Income Generation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborCosts>","""Labor Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FishingAndOverfishing>","""Fishing & Overfishing""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CapitalProductivity>","""Capital Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Productivity>","""Productivity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#InterestRates>","""Interest Rates""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PropertyRights>","""Property rights"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TransparencyInGovernment>","""Transparency in Government""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PropertyRights>","""Property rights"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RightToPropertyCustomary>","""Right to Property - Customary""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PropertyRights>","""Property rights"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PropertyTransfers>","""Property Transfers""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PropertyRights>","""Property rights"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Ecotourism>","""Ecotourism""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#PropertyRights>","""Property rights"""
